study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Barrington2011a	DUL03	6.0	DUL03	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL03	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
Barrington2011a	DUL03	6.0	DUL03	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL03	12.0	hr	10.2192216472234	NA	NA	NA	NA	NA	NA	ng/ml	NA
Barrington2011a	DUL03	6.0	DUL03	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL03	24.0	hr	13.5458357429836	NA	NA	NA	NA	NA	NA	ng/ml	NA
Barrington2011a	DUL03	6.0	DUL03	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL03	48.0	hr	15.1205313692364	NA	NA	NA	NA	NA	NA	ng/ml	NA
Barrington2011a	DUL03	6.0	DUL03	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL03	72.0	hr	12.3031094621422	NA	NA	NA	NA	NA	NA	ng/ml	NA
Barrington2011a	DUL03	6.0	DUL03	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL03	168.0	hr	6.85936035053346	NA	NA	NA	NA	NA	NA	ng/ml	NA
Barrington2011a	DUL03	6.0	DUL03	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL03	336.0	hr	9.09225495030792	NA	NA	NA	NA	NA	NA	ng/ml	NA
Barrington2011a	DUL03	6.0	DUL03	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL03	504.0	hr	9.21810681076388	NA	NA	NA	NA	NA	NA	ng/ml	NA
Barrington2011a	DUL03	6.0	DUL03	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL03	672.0	hr	9.4101605411848	NA	NA	NA	NA	NA	NA	ng/ml	NA
Barrington2011a	DUL03	6.0	DUL03	concentration	dulaglutide	plasma	RIA	dulaglutide_DUL03	696.0	hr	20.4602217577688	NA	NA	NA	NA	NA	NA	ng/ml	NA
