study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Barrington2011a	PLAC	11.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	0.0	week	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Barrington2011a	PLAC	11.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	5.0	week	0.148644555473952	NA	NA	NA	0.432570893063703	0.130425031592841	NA	percent	NA
Barrington2011a	DUL005	3.0	DUL005	hba1c (change)	NA	plasma	NR	hba1c_change_DUL005	0.0	week	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Barrington2011a	DUL005	3.0	DUL005	hba1c (change)	NA	plasma	NR	hba1c_change_DUL005	5.0	week	-0.663027500449756	NA	NA	NA	0.440615566703409	0.254389516045353	NA	percent	NA
Barrington2011a	DUL03	6.0	DUL03	hba1c (change)	NA	plasma	NR	hba1c_change_DUL03	0.0	week	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Barrington2011a	DUL03	6.0	DUL03	hba1c (change)	NA	plasma	NR	hba1c_change_DUL03	5.0	week	-0.215878793403141	NA	NA	NA	0.455552340457879	0.185978464208741	NA	percent	NA
Barrington2011a	DUL1	5.0	DUL1	hba1c (change)	NA	plasma	NR	hba1c_change_DUL1	0.0	week	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Barrington2011a	DUL1	5.0	DUL1	hba1c (change)	NA	plasma	NR	hba1c_change_DUL1	5.0	week	-0.546379966512622	NA	NA	NA	0.530864500808861	0.237409822130021	NA	percent	NA
Barrington2011a	DUL3	3.0	DUL3	hba1c (change)	NA	plasma	NR	hba1c_change_DUL3	0.0	week	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Barrington2011a	DUL3	3.0	DUL3	hba1c (change)	NA	plasma	NR	hba1c_change_DUL3	5.0	week	-1.19280130609729	NA	NA	NA	0.555482930024155	0.320708219179688	NA	percent	NA
Barrington2011a	DUL5	9.0	DUL5	hba1c (change)	NA	plasma	NR	hba1c_change_DUL5	0.0	week	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Barrington2011a	DUL5	9.0	DUL5	hba1c (change)	NA	plasma	NR	hba1c_change_DUL5	5.0	week	-0.915763477888745	NA	NA	NA	0.489815123246229	0.163271707748743	NA	percent	NA
Barrington2011a	DUL8	6.0	DUL8	hba1c (change)	NA	plasma	NR	hba1c_change_DUL8	0.0	week	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Barrington2011a	DUL8	6.0	DUL8	hba1c (change)	NA	plasma	NR	hba1c_change_DUL8	5.0	week	-0.959506497791623	NA	NA	NA	0.494873879970126	0.202031415493023	NA	percent	NA
Barrington2011a	PLAC	11.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	0.0	week	0.0	NA	NA	NA	NA	NA	NA	kg	NA
Barrington2011a	PLAC	11.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	5.0	week	0.717314580226646	NA	NA	NA	1.18553341803477	0.357451774913534	NA	kg	NA
Barrington2011a	DUL005	3.0	DUL005	weight (change)	NA	NA	NR	bodyweight_change_DUL005	0.0	week	0.0	NA	NA	NA	NA	NA	NA	kg	NA
Barrington2011a	DUL005	3.0	DUL005	weight (change)	NA	NA	NR	bodyweight_change_DUL005	5.0	week	0.674911751085248	NA	NA	NA	1.21056499306165	0.698920024615682	NA	kg	NA
Barrington2011a	DUL03	6.0	DUL03	weight (change)	NA	NA	NR	bodyweight_change_DUL03	0.0	week	0.0	NA	NA	NA	NA	NA	NA	kg	NA
Barrington2011a	DUL03	6.0	DUL03	weight (change)	NA	NA	NR	bodyweight_change_DUL03	5.0	week	0.250883459671261	NA	NA	NA	1.22448947977582	0.499895736809463	NA	kg	NA
Barrington2011a	DUL1	5.0	DUL1	weight (change)	NA	NA	NR	bodyweight_change_DUL1	0.0	week	0.0	NA	NA	NA	NA	NA	NA	kg	NA
Barrington2011a	DUL1	5.0	DUL1	weight (change)	NA	NA	NR	bodyweight_change_DUL1	5.0	week	-0.342756471816233	NA	NA	NA	1.38639619898398	0.620015228935099	NA	kg	NA
Barrington2011a	DUL3	3.0	DUL3	weight (change)	NA	NA	NR	bodyweight_change_DUL3	0.0	week	0.0	NA	NA	NA	NA	NA	NA	kg	NA
Barrington2011a	DUL3	3.0	DUL3	weight (change)	NA	NA	NR	bodyweight_change_DUL3	5.0	week	0.349823502170495	NA	NA	NA	1.40672082602685	0.812170647581255	NA	kg	NA
Barrington2011a	DUL5	9.0	DUL5	weight (change)	NA	NA	NR	bodyweight_change_DUL5	0.0	week	0.0	NA	NA	NA	NA	NA	NA	kg	NA
Barrington2011a	DUL5	9.0	DUL5	weight (change)	NA	NA	NR	bodyweight_change_DUL5	5.0	week	-2.49116605030321	NA	NA	NA	1.27723646866665	0.42574548955555	NA	kg	NA
Barrington2011a	DUL8	6.0	DUL8	weight (change)	NA	NA	NR	bodyweight_change_DUL8	0.0	week	0.0	NA	NA	NA	NA	NA	NA	kg	NA
Barrington2011a	DUL8	6.0	DUL8	weight (change)	NA	NA	NR	bodyweight_change_DUL8	5.0	week	-1.99646680833078	NA	NA	NA	1.35726078998584	0.55409939722535	NA	kg	NA
