study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Zhang2023	all	53.0	NA	species	53.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Zhang2023	all	53.0	NA	sex	53.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Zhang2023	all	53.0	NA	healthy	53.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Zhang2023	all	53.0	NA	ethnicity	53.0	NA	chinese	NA	NA	NA	NA	NA	NA	NA	NA
Zhang2023	DULP	12.0	all	age	12.0	NA	NA	25.3	26.0	4.18	NA	19.0	33.0	yr	NA
Zhang2023	DULP	12.0	all	height	12.0	NA	NA	170.54	170.0	5.189	NA	166.5	174.25	cm	NA
Zhang2023	DULP	12.0	all	weight	12.0	NA	NA	63.43	64.45	4.605	NA	53.9	71.1	kg	NA
Zhang2023	DULP	12.0	all	bmi	12.0	NA	NA	21.81	21.7	1.363	NA	19.8	23.8	kg/m^2	NA
Zhang2023	DULF	41.0	all	age	41.0	NA	NA	27.0	25.0	6.28	NA	18.0	41.0	yr	NA
Zhang2023	DULF	41.0	all	height	41.0	NA	NA	171.89	173.0	7.414	NA	151.5	185.5	cm	NA
Zhang2023	DULF	41.0	all	weight	41.0	NA	NA	65.98	65.6	7.297	NA	54.0	86.0	kg	NA
Zhang2023	DULF	41.0	all	bmi	41.0	NA	NA	22.32	22.6	1.866	NA	19.1	26.0	kg/m^2	NA
