study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	unit	comments
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	64.5994803386987	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	68.7338431375361	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	71.317822351084	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	72.8682256505703	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	79.0697599917279	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	86.8216976323717	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	104.392764170176	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	26.3565998067072	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	28.4237713490274	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	29.457366977286	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	33.0749418190925	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	34.6253254043819	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	38.2429002461884	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	39.7932838314778	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	41.8604750879949	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	43.9276466303151	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	49.6124127286387	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	7.0	day	62.5323087963785	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	9.81912889716096	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	9.81912889716096	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	12.9198960677397	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	12.9198960677397	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	12.9198960677397	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	14.9870873242568	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	14.9870873242568	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	14.9870873242568	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	18.6046621660633	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	18.0878544948356	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	14.0	day	19.1214501230942	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.5	day	15.5038752812877	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.5	day	20.1550457513527	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.5	day	27.9069833919966	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.5	day	35.1421133614127	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.5	day	41.3436674167672	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	0.5	day	42.3772630450257	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	1.0	day	31.0077505625754	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	1.0	day	38.7596882032192	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	1.0	day	47.0284335150908	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	1.0	day	57.8811383263134	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	1.0	day	58.914733954572	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	1.0	day	82.1705468765036	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	2.0	day	39.7932838314778	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	2.0	day	49.095605057411	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	2.0	day	55.8139470697963	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	2.0	day	65.6330759669573	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	2.0	day	80.6201632912142	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	2.0	day	96.6408265295327	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	3.0	day	45.9948378868322	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	3.0	day	48.0620094291525	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	3.0	day	57.3643503692826	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	3.0	day	64.5994803386987	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	3.0	day	79.0697599917279	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	3.0	day	79.0697599917279	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	4.0	day	36.692516660899	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	4.0	day	41.3436674167672	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	4.0	day	62.5323087963785	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	4.0	day	63.5658847104402	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	4.0	day	65.1162880099264	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	4.0	day	66.6666715952158	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	7.0	day	18.0878544948356	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	7.0	day	24.2894085501901	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	7.0	day	30.4909626055445	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	7.0	day	34.108537447351	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	7.0	day	36.692516660899	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	7.0	day	42.3772630450257	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	14.0	day	6.20155405535445	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	14.0	day	7.23514968361301	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	14.0	day	9.81912889716096	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	14.0	day	10.3359168541918	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	14.0	day	11.3695124824503	NA	NA	ng/ml	individual data
FDAGBDO	mildH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_mildH_individual	14.0	day	9.81912889716096	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.5	day	11.8863004394811	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.5	day	13.4367037389674	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.5	day	21.1886413796113	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.5	day	28.9405790202551	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.5	day	52.1963919421867	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	0.5	day	54.7803711557346	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	1.0	day	32.5581341478648	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	1.0	day	40.3100717885086	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	1.0	day	41.3436674167672	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	1.0	day	42.8940510020566	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	1.0	day	43.9276466303151	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	1.0	day	79.5865676629556	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	2.0	day	42.8940510020566	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	2.0	day	42.8940510020566	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	2.0	day	55.2971591127655	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	2.0	day	58.3979262833443	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	2.0	day	67.7002672234744	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	2.0	day	89.9224845171474	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	3.0	day	42.3772630450257	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	3.0	day	43.9276466303151	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	3.0	day	49.6124127286387	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	3.0	day	56.330754741024	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	3.0	day	64.0826923816679	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	3.0	day	70.8010343940532	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	4.0	day	40.3100717885086	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	4.0	day	43.4108586732843	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	4.0	day	49.6124127286387	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	4.0	day	51.679584270959	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	4.0	day	59.9483295828305	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	4.0	day	64.0826923816679	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	7.0	day	24.8061965072209	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	7.0	day	25.3230041784486	NA	NA	ng/ml	individual data
