study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	unit	comments
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	23.7726205931592	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	30.4909626055445	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	35.1421133614127	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	35.6589210326404	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	40.8268794597363	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	52.7131798992175	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	55.8139470697963	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	66.6666715952158	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	70.2842464370224	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	78.552972034697	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	0.5	day	97.1576144865635	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	32.5581341478648	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	41.3436674167672	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	46.5116258438631	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	54.2635634845069	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	58.3979262833443	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	56.330754741024	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	69.7674387657946	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	85.7881217183101	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	91.4728681024368	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	105.943147755466	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	1.0	day	114.211893067337	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	49.095605057411	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	54.7803711557346	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	59.9483295828305	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	66.1498639239881	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	70.2842464370224	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	74.9353971928905	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	81.136951248245	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	96.6408265295327	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	106.459955426693	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	112.661489767851	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	2.0	day	143.669250187525	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	53.2299678562484	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	57.3643503692826	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	60.4651175398614	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	70.8010343940532	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	74.9353971928905	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	76.4857807781799	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	76.4857807781799	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	83.2041425047621	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	92.5064637306954	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	97.1576144865635	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	3.0	day	102.325572913659	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	44.4444543015428	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	48.0620094291525	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	52.1963919421867	NA	NA	ng/ml	individual data
FDAGBDO	control	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_control_individual	4.0	day	53.7467755274761	NA	NA	ng/ml	individual data
