study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Wang2019	GLAR	250.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Wang2019	GLAR	250.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	2.0	week	0.195899652258624	NA	NA	NA	1.8728795646682388	NA	0.11845130415072502	NA	kg	NA
Wang2019	GLAR	250.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	4.0	week	0.0865605216281388	NA	NA	NA	2.0169391912649752	NA	0.12756243492910618	NA	kg	NA
Wang2019	GLAR	250.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	8.0	week	0.341685739066971	NA	NA	NA	2.305074931654871	NA	0.14578573922772703	NA	kg	NA
Wang2019	GLAR	250.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	14.0	week	0.587699478146802	NA	NA	NA	2.7372757943736503	NA	0.173120521885349	NA	kg	NA
Wang2019	GLAR	250.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	20.0	week	0.906605913050188	NA	NA	NA	2.881346412434554	NA	0.1822323478249619	NA	kg	NA
Wang2019	GLAR	250.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	26.0	week	0.970387304305051	NA	NA	NA	3.1694821528245476	NA	0.20045565212358896	NA	kg	NA
Wang2019	GLAR	250.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	39.0	week	1.37129843476192	NA	NA	NA	3.3135500230195056	NA	0.20956730427290005	NA	kg	NA
Wang2019	GLAR	250.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	52.0	week	1.34396365210429	NA	NA	NA	3.3135472751534327	NA	0.20956713048259012	NA	kg	NA
Wang2019	DUL075	252.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Wang2019	DUL075	252.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	2.0	week	-0.186788000109314	NA	NA	NA	1.4464244195288694	NA	0.09111617391248442	NA	kg	NA
Wang2019	DUL075	252.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	4.0	week	-0.53302973904125	NA	NA	NA	1.880356159524563	NA	0.11845130415072597	NA	kg	NA
Wang2019	DUL075	252.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	8.0	week	-0.769931652181461	NA	NA	NA	2.314276864177675	NA	0.14578573922772697	NA	kg	NA
Wang2019	DUL075	252.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	14.0	week	-0.788154956480082	NA	NA	NA	2.4589226167333287	NA	0.1548975651673471	NA	kg	NA
Wang2019	DUL075	252.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	20.0	week	-0.851936347734945	NA	NA	NA	2.7482086041733593	NA	0.17312086946596794	NA	kg	NA
Wang2019	DUL075	252.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	26.0	week	-0.879271130392566	NA	NA	NA	3.0374945916133935	NA	0.191344173764589	NA	kg	NA
Wang2019	DUL075	252.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	39.0	week	-0.74259686952384	NA	NA	NA	3.182134826497774	NA	0.20045565212358996	NA	kg	NA
Wang2019	DUL075	252.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	52.0	week	-0.76082017382246	NA	NA	NA	3.1821348264977596	NA	0.20045565212358907	NA	kg	NA
Wang2019	DUL15	253.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Wang2019	DUL15	253.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	2.0	week	-0.314350782619039	NA	NA	NA	1.5942184031063589	NA	0.100227652271485	NA	kg	NA
Wang2019	DUL15	253.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	4.0	week	-0.76082017382246	NA	NA	NA	1.8840778023824816	NA	0.11845095657010596	NA	kg	NA
Wang2019	DUL15	253.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	8.0	week	-1.13439634783139	NA	NA	NA	2.173937201658652	NA	0.1366742608687299	NA	kg	NA
Wang2019	DUL15	253.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	14.0	week	-1.2528473044015	NA	NA	NA	2.753656000210869	NA	0.17312086946597005	NA	kg	NA
Wang2019	DUL15	253.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	20.0	week	-1.28929391299874	NA	NA	NA	3.043509870878767	NA	0.19134382618396995	NA	kg	NA
Wang2019	DUL15	253.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	26.0	week	-1.48063773918271	NA	NA	NA	2.8985829355448196	NA	0.1822323478249701	NA	kg	NA
Wang2019	DUL15	253.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	39.0	week	-1.47152626082371	NA	NA	NA	3.1884423348209228	NA	0.20045565212358984	NA	kg	NA
Wang2019	DUL15	253.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	52.0	week	-1.08883826087515	NA	NA	NA	3.1884423348209263	NA	0.20045565212359007	NA	kg	NA
