study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	0.0	week	0.0	NA	NA	NA	NA	NA	NA	kg	NA
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	2.0	week	0.154311918905056	NA	NA	NA	1.3713119053247	0.084719932442119	NA	kg	NA
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	4.0	week	0.251134817558677	NA	NA	NA	1.6651695808587	0.102874520265772	NA	kg	NA
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	8.0	week	0.456883581077421	NA	NA	NA	1.95902277254883	0.121028831076626	NA	kg	NA
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	14.0	week	0.656580999996814	NA	NA	NA	2.54672915592908	0.157337452698333	NA	kg	NA
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	20.0	week	1.00756452701518	NA	NA	NA	2.74262829449332	0.16944014189704	NA	kg	NA
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	26.0	week	1.21936463513328	NA	NA	NA	3.03648597002727	0.18759472972069	NA	kg	NA
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	35.0	week	1.50983360810694	NA	NA	NA	3.42828873099956	0.2118003851309	NA	kg	NA
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	44.0	week	1.57034816215165	NA	NA	NA	3.52623830028162	0.21785172973025	NA	kg	NA
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	52.0	week	1.72768533783719	NA	NA	NA	3.6241923534074	0.22390335134239	NA	kg	NA
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	65.0	week	1.73373695944934	NA	NA	NA	4.01599063053582	0.2481087297398	NA	kg	NA
Giorgino2015	GLAR	262.0	GLAR	weight (change)	NA	NA	NR	bodyweight_change_GLAR	78.0	week	1.60060516216121	NA	NA	NA	4.2118987367877	0.2602119729641	NA	kg	NA
Giorgino2015	DUL075	272.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	0.0	week	0.0	NA	NA	NA	NA	NA	NA	kg	NA
Giorgino2015	DUL075	272.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	2.0	week	-0.360060405411001	NA	NA	NA	1.09782835608241	0.066565621631264	NA	kg	NA
Giorgino2015	DUL075	272.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	4.0	week	-0.662632067583366	NA	NA	NA	1.59683958389728	0.096822621640821	NA	kg	NA
Giorgino2015	DUL075	272.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	8.0	week	-0.922844040547471	NA	NA	NA	1.79645138480263	0.108925864865123	NA	kg	NA
Giorgino2015	DUL075	272.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	14.0	week	-1.06202690542215	NA	NA	NA	2.39526851307016	0.14523448648683	NA	kg	NA
