study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Umpierrez2014	MET	268.0	MET	hba1c	NA	plasma	NR	hba1c_MET	0.0	week	0.0	NA	NA	NA	0.8	NA	NA	NA	percent	NA
Umpierrez2014	MET	268.0	MET	hba1c	NA	plasma	NR	hba1c_MET	4.0	week	7.39340664561433	NA	NA	NA	0.4197609620930929	NA	0.025640981750690628	NA	percent	NA
Umpierrez2014	MET	268.0	MET	hba1c	NA	plasma	NR	hba1c_MET	13.0	week	7.20109896808604	NA	NA	NA	0.8095394068079514	NA	0.04945048975713018	NA	percent	NA
Umpierrez2014	MET	268.0	MET	hba1c	NA	plasma	NR	hba1c_MET	26.0	week	7.03992676340742	NA	NA	NA	0.9894390861161393	NA	0.060439611687609585	NA	percent	NA
Umpierrez2014	MET	268.0	MET	hba1c	NA	plasma	NR	hba1c_MET	39.0	week	7.07838834083283	NA	NA	NA	0.9894379423563384	NA	0.06043954182135991	NA	percent	NA
Umpierrez2014	MET	268.0	MET	hba1c	NA	plasma	NR	hba1c_MET	52.0	week	7.12051286574673	NA	NA	NA	1.109370299388485	NA	0.06776557653083959	NA	percent	NA
Umpierrez2014	DUL075	270.0	DUL075	hba1c	NA	plasma	NR	hba1c_DUL075	0.0	week	0.0	NA	NA	NA	0.9	NA	NA	NA	percent	NA
Umpierrez2014	DUL075	270.0	DUL075	hba1c	NA	plasma	NR	hba1c_DUL075	4.0	week	7.12051286574673	NA	NA	NA	0.5116091725704138	NA	0.031135542715929887	NA	percent	NA
Umpierrez2014	DUL075	270.0	DUL075	hba1c	NA	plasma	NR	hba1c_DUL075	13.0	week	6.9410257140269	NA	NA	NA	0.7824602770937976	NA	0.04761901601289065	NA	percent	NA
Umpierrez2014	DUL075	270.0	DUL075	hba1c	NA	plasma	NR	hba1c_DUL075	26.0	week	6.94285718777115	NA	NA	NA	0.9329346436329894	NA	0.05677659433287019	NA	percent	NA
Umpierrez2014	DUL075	270.0	DUL075	hba1c	NA	plasma	NR	hba1c_DUL075	39.0	week	7.07106230612335	NA	NA	NA	0.9329346436328142	NA	0.05677659433285953	NA	percent	NA
Umpierrez2014	DUL075	270.0	DUL075	hba1c	NA	plasma	NR	hba1c_DUL075	52.0	week	7.15164840846266	NA	NA	NA	1.113502046648345	NA	0.06776557653082982	NA	percent	NA
Umpierrez2014	DUL15	269.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	0.0	week	0.0	NA	NA	NA	0.9	NA	NA	NA	percent	NA
Umpierrez2014	DUL15	269.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	4.0	week	7.07106230612335	NA	NA	NA	0.4505829177574978	NA	0.027472525361179834	NA	percent	NA
Umpierrez2014	DUL15	269.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	13.0	week	6.84029312103589	NA	NA	NA	0.8110483352504029	NA	0.04945048975713995	NA	percent	NA
Umpierrez2014	DUL15	269.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	26.0	week	6.83113561258217	NA	NA	NA	0.9912810439966951	NA	0.060439471955110236	NA	percent	NA
Umpierrez2014	DUL15	269.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	39.0	week	6.89157508453728	NA	NA	NA	0.9612449329527049	NA	0.05860813794335051	NA	percent	NA
Umpierrez2014	DUL15	269.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	52.0	week	6.95018322248063	NA	NA	NA	1.1414764958076087	NA	0.06959705027508978	NA	percent	NA
