study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Pratley2018	SEM05	301.0	SEM05	concentration	glucose	plasma	NR	fpg_SEM05	0.0	hr	9.72067714631197	NA	NA	NA	NA	NA	NA	NA	mmol/l	NA
Pratley2018	SEM05	301.0	SEM05	concentration	glucose	plasma	NR	fpg_SEM05	672.0	hr	8.20133010882708	NA	NA	NA	1.64832326223766	0.186215235792023	NA	NA	mmol/l	NA
Pratley2018	SEM05	301.0	SEM05	concentration	glucose	plasma	NR	fpg_SEM05	1344.0	hr	7.5918984280532	NA	NA	NA	1.72324704688483	0.194679564691661	NA	NA	mmol/l	NA
Pratley2018	SEM05	301.0	SEM05	concentration	glucose	plasma	NR	fpg_SEM05	2016.0	hr	7.456469165659	NA	NA	NA	1.64832326223764	0.186215235792021	NA	NA	mmol/l	NA
Pratley2018	SEM05	301.0	SEM05	concentration	glucose	plasma	NR	fpg_SEM05	2688.0	hr	7.27871825876662	NA	NA	NA	1.42355190829623	0.160822249093119	NA	NA	mmol/l	NA
Pratley2018	SEM05	301.0	SEM05	concentration	glucose	plasma	NR	fpg_SEM05	4704.0	hr	7.456469165659	NA	NA	NA	1.9480184008264	0.220072551390581	NA	NA	mmol/l	NA
Pratley2018	SEM05	301.0	SEM05	concentration	glucose	plasma	NR	fpg_SEM05	6720.0	hr	7.5241837968561	NA	NA	NA	2.17278975476778	0.24546553808948	NA	NA	mmol/l	NA
Pratley2018	SEM10	300.0	SEM10	concentration	glucose	plasma	NR	fpg_SEM10	0.0	hr	9.72067714631197	NA	NA	NA	NA	NA	NA	NA	mmol/l	NA
Pratley2018	SEM10	300.0	SEM10	concentration	glucose	plasma	NR	fpg_SEM10	672.0	hr	8.20133010882708	NA	NA	NA	1.64558290579185	0.186215235792023	NA	NA	mmol/l	NA
Pratley2018	SEM10	300.0	SEM10	concentration	glucose	plasma	NR	fpg_SEM10	1344.0	hr	7.58343409915356	NA	NA	NA	1.86998057476352	0.211608222490941	NA	NA	mmol/l	NA
Pratley2018	SEM10	300.0	SEM10	concentration	glucose	plasma	NR	fpg_SEM10	2016.0	hr	7.13905683192261	NA	NA	NA	1.64558290579181	0.186215235792019	NA	NA	mmol/l	NA
Pratley2018	SEM10	300.0	SEM10	concentration	glucose	plasma	NR	fpg_SEM10	2688.0	hr	6.89782345828295	NA	NA	NA	1.42118523682014	0.1608222490931	NA	NA	mmol/l	NA
Pratley2018	SEM10	300.0	SEM10	concentration	glucose	plasma	NR	fpg_SEM10	4704.0	hr	6.92744860943168	NA	NA	NA	1.94477979775389	0.22007255139056	NA	NA	mmol/l	NA
Pratley2018	SEM10	300.0	SEM10	concentration	glucose	plasma	NR	fpg_SEM10	6720.0	hr	6.88935912938331	NA	NA	NA	1.86998057476333	0.21160822249092	NA	NA	mmol/l	NA
Pratley2018	DUL075	299.0	DUL075	concentration	glucose	plasma	NR	fpg_DUL075	0.0	hr	9.72067714631197	NA	NA	NA	NA	NA	NA	NA	mmol/l	NA
