study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Wysham2014	EXEN	141.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Wysham2014	EXEN	141.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	2.0	week	0.146031762563062	NA	NA	NA	1.809421885300217	NA	0.15238081167253803	NA	kg	NA
Wysham2014	EXEN	141.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	4.0	week	0.247618970344754	NA	NA	NA	1.9602077614089053	NA	0.16507927319600102	NA	kg	NA
Wysham2014	EXEN	141.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	8.0	week	0.603174439783684	NA	NA	NA	2.4879583277893556	NA	0.20952388852812498	NA	kg	NA
Wysham2014	EXEN	141.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	13.0	week	0.73650792247554	NA	NA	NA	3.3926692704394164	NA	0.28571429436439	NA	kg	NA
Wysham2014	EXEN	141.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	26.0	week	1.3650793458569	NA	NA	NA	4.372773151143863	NA	0.36825393096239	NA	kg	NA
Wysham2014	EXEN	276.0	EXEN	weight (change)	NA	NA	NR	bodyweight_change_EXEN	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Wysham2014	EXEN	276.0	EXEN	weight (change)	NA	NA	NR	bodyweight_change_EXEN	2.0	week	-0.355555651091186	NA	NA	NA	1.5822141170293718	NA	0.095238098121464	NA	kg	NA
Wysham2014	EXEN	276.0	EXEN	weight (change)	NA	NA	NR	bodyweight_change_EXEN	4.0	week	-0.501587353103497	NA	NA	NA	2.1096188227058508	NA	0.12698413082861998	NA	kg	NA
Wysham2014	EXEN	276.0	EXEN	weight (change)	NA	NA	NR	bodyweight_change_EXEN	8.0	week	-0.9523811628669	NA	NA	NA	2.4260648651345793	NA	0.14603194421531895	NA	kg	NA
Wysham2014	EXEN	276.0	EXEN	weight (change)	NA	NA	NR	bodyweight_change_EXEN	13.0	week	-1.16190493029352	NA	NA	NA	3.375390921085068	NA	0.2031746577663931	NA	kg	NA
Wysham2014	EXEN	276.0	EXEN	weight (change)	NA	NA	NR	bodyweight_change_EXEN	26.0	week	-1.14285735910982	NA	NA	NA	4.324721000813974	NA	0.2603176135204659	NA	kg	NA
Wysham2014	EXEN	276.0	EXEN	weight (change)	NA	NA	NR	bodyweight_change_EXEN	39.0	week	-0.806349218651581	NA	NA	NA	5.168563701362157	NA	0.31111097520831205	NA	kg	NA
Wysham2014	EXEN	276.0	EXEN	weight (change)	NA	NA	NR	bodyweight_change_EXEN	52.0	week	-0.761904966623971	NA	NA	NA	5.801451762441058	NA	0.349206359778703	NA	kg	NA
Wysham2014	DUL075	280.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Wysham2014	DUL075	280.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	2.0	week	-0.222222410602339	NA	NA	NA	1.4873972688912969	NA	0.088888988461236	NA	kg	NA
Wysham2014	DUL075	280.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	4.0	week	-0.342857189567723	NA	NA	NA	1.912365022266328	NA	0.11428566930515599	NA	kg	NA
Wysham2014	DUL075	280.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	8.0	week	-0.241269981786031	NA	NA	NA	2.4435777536087153	NA	0.1460317020123103	NA	kg	NA
Wysham2014	DUL075	280.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	13.0	week	-0.0761904663870212	NA	NA	NA	3.2935173131902444	NA	0.19682530590315622	NA	kg	NA
