study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Nauck2014	PLAC	177.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	0.0	week	0.0	NA	NA	NA	0.0	0.0	NA	kg	NA
Nauck2014	PLAC	177.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	2.0	week	-0.360175620392077	NA	NA	NA	1.28561092427684	0.096632434478973	NA	kg	NA
Nauck2014	PLAC	177.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	4.0	week	-0.672035124078415	NA	NA	NA	1.63623232862771	0.122986753070284	NA	kg	NA
Nauck2014	PLAC	177.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	8.0	week	-1.05417274365241	NA	NA	NA	2.04529241705634	0.15373359213847	NA	kg	NA
Nauck2014	PLAC	177.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	12.0	week	-1.22547581449593	NA	NA	NA	2.45434983045604	0.18448023013917	NA	kg	NA
Nauck2014	PLAC	177.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	26.0	week	-1.58125911547862	NA	NA	NA	3.50621404350863	0.2635431859131	NA	kg	NA
Nauck2014	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	0.0	week	0.0	NA	NA	NA	0.0	0.0	NA	kg	NA
Nauck2014	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	2.0	week	-0.232796547912406	NA	NA	NA	1.16935688561563	0.065885796478276	NA	kg	NA
Nauck2014	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	4.0	week	-0.540263531121863	NA	NA	NA	1.40322826273876	0.079062955773931	NA	kg	NA
Nauck2014	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	8.0	week	-0.838945875512546	NA	NA	NA	1.87097101698502	0.105417274365242	NA	kg	NA
Nauck2014	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	12.0	week	-1.07613474283434	NA	NA	NA	2.10484239410814	0.118594433660897	NA	kg	NA
Nauck2014	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	26.0	week	-1.48462668099965	NA	NA	NA	3.43011472067051	0.19326507002544	NA	kg	NA
Nauck2014	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	39.0	week	-1.50658847911408	NA	NA	NA	3.74194203397015	0.21083454873049	NA	kg	NA
Nauck2014	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	52.0	week	-1.62957543325185	NA	NA	NA	4.20968478821622	0.23718886732179	NA	kg	NA
Nauck2014	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	0.0	week	0.0	NA	NA	NA	0.0	0.0	NA	kg	NA
Nauck2014	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	2.0	week	-0.51830153193994	NA	NA	NA	1.67929616455889	0.096632635546467	NA	kg	NA
Nauck2014	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	4.0	week	-1.10688138083503	NA	NA	NA	1.83195691102386	0.10541727436524	NA	kg	NA
Nauck2014	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	8.0	week	-1.69985354913952	NA	NA	NA	2.1372818981343	0.12298675307028	NA	kg	NA
Nauck2014	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	12.0	week	-2.13030748648675	NA	NA	NA	2.44260688524491	0.14055623177533	NA	kg	NA
Nauck2014	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	26.0	week	-2.6749635380855	NA	NA	NA	3.35858534075667	0.19326486895794	NA	kg	NA
Nauck2014	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	39.0	week	-2.90775988493041	NA	NA	NA	4.12190304980368	0.23718886732179	NA	kg	NA
Nauck2014	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	52.0	week	-2.69253281572304	NA	NA	NA	4.35089766368175	0.25036602661745	NA	kg	NA
Nauck2014	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	0.0	week	0.0	NA	NA	NA	0.0	0.0	NA	kg	NA
Nauck2014	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	2.0	week	-0.96193262858283	NA	NA	NA	0.0	0.0	NA	kg	NA
Nauck2014	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	4.0	week	-1.58125911547862	NA	NA	NA	1.60826136051562	0.09224011506959	NA	kg	NA
Nauck2014	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	8.0	week	-2.15226928460118	NA	NA	NA	1.99117839491259	0.11420191318402	NA	kg	NA
Nauck2014	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	12.0	week	-2.78038081245074	NA	NA	NA	2.29751622930791	0.13177159295655	NA	kg	NA
Nauck2014	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	26.0	week	-3.28989750450441	NA	NA	NA	3.29310893249569	0.18887275061605	NA	kg	NA
Nauck2014	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	39.0	week	-3.26793570638998	NA	NA	NA	3.90577758982353	0.22401170802614	NA	kg	NA
Nauck2014	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	52.0	week	-3.22401170802613	NA	NA	NA	4.13552921275424	0.23718886732179	NA	kg	NA
