study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	se	min	max	sd	cv	unit	comments
Dungan2016	PLAC	60.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	0.0	week	0.0	NA	NA	NA	NA	NA	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	2.0	week	-0.298507483874609	NA	0.169746943122986	NA	NA	1.3148541675698848	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	4.0	week	-0.345771106887943	NA	0.204976918359941	NA	NA	1.5877443823299378	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	8.0	week	-0.460198957613617	NA	0.241185714252416	NA	NA	1.868216509285496	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	12.0	week	-0.320895559778722	NA	0.303446777388708	NA	NA	2.350488630573551	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	18.0	week	-0.253731415572197	NA	0.353611146574634	NA	NA	2.739060163433735	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	24.0	week	-0.241293558511772	NA	0.404350181340913	NA	NA	3.13208303673861	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	0.0	week	0.0	NA	NA	NA	NA	NA	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	2.0	week	-0.281094600898154	NA	0.113224601587279	NA	NA	1.7504098624890505	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	4.0	week	-0.497512528794892	NA	0.122061313481988	NA	NA	1.8870221131451022	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	8.0	week	-0.703980154342127	NA	0.13899826354911	NA	NA	2.1488610070106007	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	12.0	week	-0.850746299815602	NA	0.177461165891091	NA	NA	2.743483047234419	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	18.0	week	-0.810945257429219	NA	0.191811745070455	NA	NA	2.965337617494271	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	24.0	week	-0.907960308684253	NA	0.213616256722406	NA	NA	3.3024271873163524	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight	NA	NA	NR	bodyweight_PLAC	0.0	week	89.5	NA	NA	NA	NA	NA	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight	NA	NA	NR	bodyweight_PLAC	2.0	week	89.20149251612538	NA	0.169746943122986	NA	NA	1.3148541675698848	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight	NA	NA	NR	bodyweight_PLAC	4.0	week	89.15422889311206	NA	0.204976918359941	NA	NA	1.5877443823299378	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight	NA	NA	NR	bodyweight_PLAC	8.0	week	89.03980104238639	NA	0.241185714252416	NA	NA	1.868216509285496	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight	NA	NA	NR	bodyweight_PLAC	12.0	week	89.17910444022128	NA	0.303446777388708	NA	NA	2.350488630573551	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight	NA	NA	NR	bodyweight_PLAC	18.0	week	89.24626858442781	NA	0.353611146574634	NA	NA	2.739060163433735	NA	kg	NA
Dungan2016	PLAC	60.0	PLAC	weight	NA	NA	NR	bodyweight_PLAC	24.0	week	89.25870644148823	NA	0.404350181340913	NA	NA	3.13208303673861	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight	NA	NA	NR	bodyweight_DUL15	0.0	week	84.5	NA	NA	NA	NA	NA	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight	NA	NA	NR	bodyweight_DUL15	2.0	week	84.21890539910184	NA	0.113224601587279	NA	NA	1.7504098624890505	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight	NA	NA	NR	bodyweight_DUL15	4.0	week	84.00248747120511	NA	0.122061313481988	NA	NA	1.8870221131451022	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight	NA	NA	NR	bodyweight_DUL15	8.0	week	83.79601984565787	NA	0.13899826354911	NA	NA	2.1488610070106007	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight	NA	NA	NR	bodyweight_DUL15	12.0	week	83.6492537001844	NA	0.177461165891091	NA	NA	2.743483047234419	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight	NA	NA	NR	bodyweight_DUL15	18.0	week	83.68905474257078	NA	0.191811745070455	NA	NA	2.965337617494271	NA	kg	NA
Dungan2016	DUL15	239.0	DUL15	weight	NA	NA	NR	bodyweight_DUL15	24.0	week	83.59203969131575	NA	0.213616256722406	NA	NA	3.3024271873163524	NA	kg	NA
