study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Dungan2016	PLAC	60.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	0.0	week	8.39490434556148	NA	NA	NA	0.6770958171276645	0.0874126941174049	NA	percent	NA
Dungan2016	PLAC	60.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	4.0	week	8.16560502744667	NA	NA	NA	0.7583472159991449	0.0979022046069149	NA	percent	NA
Dungan2016	PLAC	60.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	8.0	week	8.14012739670639	NA	NA	NA	0.8395973750727003	0.108391555039201	NA	percent	NA
Dungan2016	PLAC	60.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	12.0	week	8.2101910950596	NA	NA	NA	1.1104349580449828	0.143356536651825	NA	percent	NA
Dungan2016	PLAC	60.0	PLAC	hba1c	NA	plasma	NR	hba1c_PLAC	24.0	week	8.26751576422522	NA	NA	NA	1.110434958044944	0.14335653665182	NA	percent	NA
Dungan2016	DUL15	239.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	0.0	week	8.38853493787641	NA	NA	NA	NA	NA	NA	percent	NA
Dungan2016	DUL15	239.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	4.0	week	7.47770707310225	NA	NA	NA	NA	NA	NA	percent	NA
Dungan2016	DUL15	239.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	8.0	week	7.01273881537013	NA	NA	NA	NA	NA	NA	percent	NA
Dungan2016	DUL15	239.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	12.0	week	6.95541393238707	NA	NA	NA	NA	NA	NA	percent	NA
Dungan2016	DUL15	239.0	DUL15	hba1c	NA	plasma	NR	hba1c_DUL15	24.0	week	6.98726118462986	NA	NA	NA	NA	NA	NA	percent	NA
Dungan2016	PLAC	60.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	0.0	week	0.0	NA	NA	NA	0.6770958171276645	0.0874126941174049	NA	percent	NA
Dungan2016	PLAC	60.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	4.0	week	-0.2292993181148102	NA	NA	NA	0.7583472159991449	0.0979022046069149	NA	percent	NA
Dungan2016	PLAC	60.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	8.0	week	-0.25477694885509017	NA	NA	NA	0.8395973750727003	0.108391555039201	NA	percent	NA
Dungan2016	PLAC	60.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	12.0	week	-0.18471325050188092	NA	NA	NA	1.1104349580449828	0.143356536651825	NA	percent	NA
Dungan2016	PLAC	60.0	PLAC	hba1c (change)	NA	plasma	NR	hba1c_change_PLAC	24.0	week	-0.12738858133626074	NA	NA	NA	1.110434958044944	0.14335653665182	NA	percent	NA
Dungan2016	DUL15	239.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	0.0	week	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Dungan2016	DUL15	239.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	4.0	week	-0.9108278647741592	NA	NA	NA	NA	NA	NA	percent	NA
Dungan2016	DUL15	239.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	8.0	week	-1.3757961225062791	NA	NA	NA	NA	NA	NA	percent	NA
Dungan2016	DUL15	239.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	12.0	week	-1.4331210054893395	NA	NA	NA	NA	NA	NA	percent	NA
Dungan2016	DUL15	239.0	DUL15	hba1c (change)	NA	plasma	NR	hba1c_change_DUL15	24.0	week	-1.4012737532465493	NA	NA	NA	NA	NA	NA	percent	NA
