study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Umpierrez2011	PLAC	66.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Umpierrez2011	PLAC	66.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	4.0	week	-0.0609284699830834	NA	NA	NA	1.759946785382914	NA	0.2166344738570666	NA	kg	NA
Umpierrez2011	PLAC	66.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	8.0	week	-0.128626726922894	NA	NA	NA	2.4199260431441787	NA	0.297872304710334	NA	kg	NA
Umpierrez2011	PLAC	66.0	PLAC	weight (change)	NA	NA	NR	bodyweight_change_PLAC	16.0	week	-0.121856875404077	NA	NA	NA	3.1349048836477733	NA	0.385880116206596	NA	kg	NA
Umpierrez2011	DUL0510	66.0	DUL0510	weight (change)	NA	NA	NR	bodyweight_change_DUL0510	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Umpierrez2011	DUL0510	66.0	DUL0510	weight (change)	NA	NA	NR	bodyweight_change_DUL0510	4.0	week	-0.500967140091856	NA	NA	NA	1.7599467853829176	NA	0.21663447385706702	NA	kg	NA
Umpierrez2011	DUL0510	66.0	DUL0510	weight (change)	NA	NA	NR	bodyweight_change_DUL0510	8.0	week	-1.38781433182821	NA	NA	NA	2.529922061599503	NA	0.31141187862379005	NA	kg	NA
Umpierrez2011	DUL0510	66.0	DUL0510	weight (change)	NA	NA	NR	bodyweight_change_DUL0510	16.0	week	-1.44874286637339	NA	NA	NA	3.134902785628212	NA	0.3858798579582401	NA	kg	NA
Umpierrez2011	DUL1010	65.0	DUL1010	weight (change)	NA	NA	NR	bodyweight_change_DUL1010	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Umpierrez2011	DUL1010	65.0	DUL1010	weight (change)	NA	NA	NR	bodyweight_change_DUL1010	4.0	week	-1.08317217559906	NA	NA	NA	1.8557235411275368	NA	0.2301741768947001	NA	kg	NA
Umpierrez2011	DUL1010	65.0	DUL1010	weight (change)	NA	NA	NR	bodyweight_change_DUL1010	8.0	week	-1.67214706262509	NA	NA	NA	2.5652641602417163	NA	0.31818185926679	NA	kg	NA
Umpierrez2011	DUL1010	65.0	DUL1010	weight (change)	NA	NA	NR	bodyweight_change_DUL1010	16.0	week	-1.34719548096367	NA	NA	NA	3.111062874736165	NA	0.3858798579582401	NA	kg	NA
Umpierrez2011	DUL1020	65.0	DUL1020	weight (change)	NA	NA	NR	bodyweight_change_DUL1020	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Umpierrez2011	DUL1020	65.0	DUL1020	weight (change)	NA	NA	NR	bodyweight_change_DUL1020	4.0	week	-1.27949722402386	NA	NA	NA	1.9103027879575525	NA	0.23694389928934	NA	kg	NA
Umpierrez2011	DUL1020	65.0	DUL1020	weight (change)	NA	NA	NR	bodyweight_change_DUL1020	8.0	week	-2.1189554551285	NA	NA	NA	2.5106849134116986	NA	0.31141213687214986	NA	kg	NA
Umpierrez2011	DUL1020	65.0	DUL1020	weight (change)	NA	NA	NR	bodyweight_change_DUL1020	16.0	week	-2.55222440284264	NA	NA	NA	3.220223450460959	NA	0.39941956099587017	NA	kg	NA
