run	success	duration	cost	EC50_FAT	Emax_FAT	k_fpg	message	x	x0
8	True	161.3293731212616	30167.536025696896	121.39836298612472	9.058086828747667e-05	1.0382112207761474	`xtol` termination condition is satisfied.	[1.21398363e+02 9.05808683e-05 1.03821122e+00]	[ 0.33427493 12.33176108  0.24217239]
9	True	181.2831585407257	30167.642598735325	9.111733920797546	2.3139818625919226e-06	1.045784991003661	`xtol` termination condition is satisfied.	[9.11173392e+00 2.31398186e-06 1.04578499e+00]	[1.58236016e-05 1.57926031e-04 8.94770194e-03]
0	True	155.04428362846375	30167.892791312992	0.6479125801637703	1.1177397630405238e-06	0.9912827630124311	`xtol` termination condition is satisfied.	[6.47912580e-01 1.11773976e-06 9.91282763e-01]	[2.25989421e-04 4.58678578e-05 8.44808220e+00]
1	True	202.81357336044312	30168.422570472598	1.376976860331503	5.9428716319787055e-06	1.0334314503397062	`xtol` termination condition is satisfied.	[1.37697686e+00 5.94287163e-06 1.03343145e+00]	[9.64759622e+01 2.06004879e+00 3.41081916e-03]
5	True	174.46165943145752	30169.147620706222	761.5587510208118	1.2177605737610178e-06	1.0581310475817234	`xtol` termination condition is satisfied.	[7.61558751e+02 1.21776057e-06 1.05813105e+00]	[0.00049584 0.03861444 0.00260755]
4	True	158.54010605812073	30169.61992537832	0.8891697510683606	1.0123267475333146e-06	1.0673702703485777	`xtol` termination condition is satisfied.	[8.89169751e-01 1.01232675e-06 1.06737027e+00]	[7.97862215e-04 4.96248554e-03 4.04024946e-05]
6	True	147.6979956626892	30173.319405209833	2.0004485799279688	2.108375934155955e-05	0.9881104348123004	`xtol` termination condition is satisfied.	[2.00044858e+00 2.10837593e-05 9.88110435e-01]	[1.07491462e-01 1.75033258e-03 5.76884236e-06]
2	True	114.58312058448792	30176.794521736312	0.1661883682816423	1.1300898814363977e-06	0.9309590644452559	`xtol` termination condition is satisfied.	[1.66188368e-01 1.13008988e-06 9.30959064e-01]	[4.12426113e-01 4.11282730e-06 7.43388715e-03]
7	True	167.1671679019928	30178.37339545711	1.1369865427913042	3.151630613320035e-06	1.1460361665819658	`xtol` termination condition is satisfied.	[1.13698654e+00 3.15163061e-06 1.14603617e+00]	[6.79382733e-06 7.14071958e-05 5.64703001e-05]
3	True	183.4721019268036	4632482.153303176	1.52564774735931e-05	4.3467770636041845	0.9397305980986526	`xtol` termination condition is satisfied.	[1.52564775e-05 4.34677706e+00 9.39730598e-01]	[1.61377085e-04 3.24580925e+00 2.05408307e+00]
