study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	ci	se	cv	unit	comments
Weinstock2015	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Weinstock2015	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	4.0	week	-0.551796976485415	NA	NA	NA	1.688521741228	NA	0.095137422253363	NA	kg	NA
Weinstock2015	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	8.0	week	-0.837209243245505	NA	NA	NA	2.13879592320862	NA	0.120507498299718	NA	kg	NA
Weinstock2015	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	12.0	week	-1.08456651690955	NA	NA	NA	2.25136232163738	NA	0.12684989633782	NA	kg	NA
Weinstock2015	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	26.0	week	-1.48414388393126	NA	NA	NA	3.48960988088461	NA	0.19661724254482	NA	kg	NA
Weinstock2015	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	39.0	week	-1.52854115409191	NA	NA	NA	3.71475126600788	NA	0.20930252251498	NA	kg	NA
Weinstock2015	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	52.0	week	-1.64270625435353	NA	NA	NA	4.2775875522844	NA	0.24101475465246	NA	kg	NA
Weinstock2015	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	65.0	week	-1.59196610226082	NA	NA	NA	4.16502115385568	NA	0.23467235661436	NA	kg	NA
Weinstock2015	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	78.0	week	-1.71247360056054	NA	NA	NA	4.6152910417033	NA	0.26004219071373	NA	kg	NA
Weinstock2015	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	91.0	week	-1.82663845887518	NA	NA	NA	4.84042813269365	NA	0.27272722873691	NA	kg	NA
Weinstock2015	SITA	315.0	SITA	weight (change)	NA	NA	NR	bodyweight_change_SITA	104.0	week	-1.88372100900599	NA	NA	NA	4.95299453112238	NA	0.27906962677501	NA	kg	NA
Weinstock2015	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Weinstock2015	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	4.0	week	-1.116278990994	NA	NA	NA	1.76353545913858	NA	0.10148006223844	NA	kg	NA
Weinstock2015	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	8.0	week	-1.70613120252244	NA	NA	NA	1.9839737125145	NA	0.11416485831464	NA	kg	NA
Weinstock2015	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	12.0	week	-2.1501058397048	NA	NA	NA	2.09419283920246	NA	0.12050725635274	NA	kg	NA
Weinstock2015	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	26.0	week	-2.67653286111735	NA	NA	NA	3.30662425572097	NA	0.19027484450673	NA	kg	NA
Weinstock2015	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	39.0	week	-2.91754761576981	NA	NA	NA	3.85773250293126	NA	0.22198756053816	NA	kg	NA
Weinstock2015	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	52.0	week	-2.70190269521673	NA	NA	NA	4.18839408758519	NA	0.24101499659943	NA	kg	NA
Weinstock2015	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	65.0	week	-2.651162785071	NA	NA	NA	4.29861321427315	NA	0.24735739463753	NA	kg	NA
Weinstock2015	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	78.0	week	-2.61945031098654	NA	NA	NA	4.73949392561521	NA	0.27272722873691	NA	kg	NA
Weinstock2015	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	91.0	week	-2.23890062197309	NA	NA	NA	4.95993638358136	NA	0.28541226676009	NA	kg	NA
Weinstock2015	DUL075	302.0	DUL075	weight (change)	NA	NA	NR	bodyweight_change_DUL075	104.0	week	-2.28964053211882	NA	NA	NA	5.07015971485955	NA	0.29175490674517	NA	kg	NA
Weinstock2015	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	0.0	week	0.0	NA	NA	NA	NA	NA	NA	NA	kg	NA
Weinstock2015	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	4.0	week	-1.58562370422272	NA	NA	NA	1.54819414897426	NA	0.08879502421526	NA	kg	NA
Weinstock2015	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	8.0	week	-2.1501058397048	NA	NA	NA	2.21170351654067	NA	0.12684989633782	NA	kg	NA
Weinstock2015	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	12.0	week	-2.78435532139389	NA	NA	NA	2.21170351654067	NA	0.12684989633782	NA	kg	NA
Weinstock2015	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	26.0	week	-3.30443994476834	NA	NA	NA	3.09637986096922	NA	0.17758956453657	NA	kg	NA
Weinstock2015	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	39.0	week	-3.27906986872199	NA	NA	NA	3.87048115394609	NA	0.22198731859118	NA	kg	NA
Weinstock2015	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	52.0	week	-3.22198731859118	NA	NA	NA	4.20224005621886	NA	0.24101499659943	NA	kg	NA
Weinstock2015	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	65.0	week	-3.19661724254482	NA	NA	NA	4.20224005621904	NA	0.24101499659944	NA	kg	NA
Weinstock2015	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	78.0	week	-3.32346713888264	NA	NA	NA	4.64458244692296	NA	0.26638507264579	NA	kg	NA
Weinstock2015	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	91.0	week	-3.03805487212255	NA	NA	NA	4.53399895849181	NA	0.26004267460769	NA	kg	NA
Weinstock2015	DUL15	304.0	DUL15	weight (change)	NA	NA	NR	bodyweight_change_DUL15	104.0	week	-2.91120521773171	NA	NA	NA	4.97632869372668	NA	0.28541202481311	NA	kg	NA
